date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24,y,raw_change
2025-06-24,27,URA,6,0.3080,0.5720,0.4200,0.4800,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.3990,0.8856,0.5500,0.5000,0.9954,0.9999,0.9995,1.0000,0.9215,0.0785,0.2553,0.7645,0.6986,0.6181,0.5782,0.9227,0.9995,0.1889,0.0659,0.2997,0.4619,0.9190,0.0810,0.9639,0.0361,0.4606,0.4525,0.5000,0.394300,-0.021464
2025-06-24,28,URNM,6,0.3080,0.5720,0.4200,0.4800,0.6500,0.6000,0.5000,0.5500,0.5400,0.5500,0.3990,0.7767,0.5500,0.5000,0.9849,0.9986,0.9579,0.5000,0.8902,0.1098,0.2141,0.7011,0.7217,0.5448,0.5538,0.8350,0.9923,0.3297,0.1258,0.1571,0.5106,0.8832,0.1168,0.9440,0.0560,0.4639,0.5567,0.5000,0.439402,-0.012179
2025-06-25,0,NVDA,6,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.8224,0.6500,0.5500,0.9837,0.9980,0.9818,0.5000,1.0000,0.0000,0.1187,0.7141,0.4604,0.6667,0.8044,0.8581,0.9923,0.4675,0.3594,0.1479,0.2519,0.9935,0.0065,0.9976,0.0024,0.4126,0.2710,0.5000,0.522989,0.004601
2025-06-25,1,AAPL,6,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.4253,0.6800,0.5000,0.5746,0.4626,0.1267,0.0000,0.6356,0.3644,0.0443,0.4785,0.3936,0.5251,0.6468,0.4658,0.5587,0.1155,0.3621,0.2573,0.2208,0.5810,0.4190,0.4854,0.5146,0.2447,0.2608,0.5000,0.486112,-0.002778
2025-06-25,2,AMZN,6,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.5768,0.5800,0.5000,0.5701,0.8697,0.6762,0.5000,0.5738,0.4262,0.0766,0.5728,0.4492,0.4853,0.4345,0.3440,0.7338,0.1637,0.4525,0.2781,0.1617,0.6162,0.3838,0.8793,0.1207,0.2564,0.3360,0.5000,0.618688,0.024199
2025-06-25,3,COIN,6,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.9343,0.4800,0.5500,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.4955,0.7903,1.0000,0.6200,0.9997,0.9999,1.0000,0.2581,1.0000,0.9965,0.1845,0.8962,0.1038,0.9307,0.0693,0.4112,0.5012,0.5000,0.751887,0.055435
2025-06-25,4,CRCL,6,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.5000,0.4000,0.4200,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.819273,0.075571
2025-06-25,5,GME,6,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.2517,0.3000,0.4200,0.0022,0.0131,0.1434,0.5000,0.2658,0.7342,0.5213,0.2527,1.0000,0.5445,0.6194,0.0042,0.0000,0.1720,0.0000,1.0000,0.9525,0.1409,0.8591,0.1409,0.8591,0.8499,0.4407,0.5000,0.569609,0.014013
2025-06-25,6,GOOGL,6,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.4832,0.5500,0.5000,0.4150,0.7428,0.4739,0.5000,0.4280,0.5720,0.0954,0.5418,0.5110,0.5927,0.3546,0.2481,0.3995,0.1877,0.6475,0.2250,0.1786,0.4542,0.5458,0.7036,0.2964,0.3319,0.3858,0.5000,0.583008,0.016757
2025-06-25,7,HOOD,6,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.8949,0.4500,0.5200,0.9980,1.0000,1.0000,1.0000,0.9662,0.0338,0.2675,0.6893,1.0000,0.5360,0.8891,0.9715,0.9999,0.2111,0.4370,0.1442,0.2043,0.8763,0.1237,0.9396,0.0604,0.4304,0.2535,0.5000,0.605347,0.021390
